no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1100423,新北市蘆洲區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,617.39
2,毒品,1091203,新北市八里區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
3,毒品,1100309,臺南市東區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
4,毒品,1100319,臺南市善化區,普通住宅(一、二層樓),    ,    ,1,安非他命,9.09
5,毒品,1100423,臺中市西屯區,普通住宅(一、二層樓),    ,    ,1,安非他命,1.32
6,毒品,1100322,高雄市美濃區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
7,毒品,1100402,基隆市信義區,公寓(三至五層建築物),    ,    ,1,安非他命,2.46
8,毒品,1100311,南投縣埔里鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
9,毒品,1100130,高雄市左營區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
10,毒品,1100104,新北市林口區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,17.92
11,毒品,1100328,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
12,毒品,1100315,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
13,毒品,1100314,新北市三重區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0
14,毒品,1100120,高雄市前鎮區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
15,毒品,1100311,新竹市香山區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
16,毒品,1100414,臺北市內湖區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.36
17,毒品,1100410,臺北市內湖區,公寓(三至五層建築物),    ,    ,1,安非他命,0
18,毒品,1100318,臺南市東區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,4.09
