no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1061117,高雄市楠梓區,公寓(三至五層建築物),    ,    ,1,海洛因,0
2,毒品,1070423,台北市文山區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,安非他命,0.2
3,毒品,1070307,台北市文山區,公寓(三至五層建築物),    ,    ,1,安非他命,0
4,毒品,1070130,苗栗縣三義鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
5,毒品,1070130,苗栗縣三義鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
6,毒品,1070330,桃園市中壢區,普通住宅(一、二層樓),    ,    ,1,海洛因,0.01
6,毒品,1070330,桃園市中壢區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0.01
7,毒品,1061204,高雄市左營區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
8,毒品,1070330,高雄市左營區,普通住宅(一、二層樓),    ,電腦網路,1,大麻,1.8
8,毒品,1070330,高雄市左營區,普通住宅(一、二層樓),    ,電腦網路,1,K(愷)他命(含液態),8.76
8,毒品,1070330,高雄市左營區,普通住宅(一、二層樓),    ,電腦網路,1,硝甲西泮(硝甲氮平),391.85
9,毒品,1070210,高雄市左營區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
10,毒品,1070113,花蓮縣玉里鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
11,毒品,1070418,基隆市中正區,公寓(三至五層建築物),    ,    ,1,安非他命,63.9
11,毒品,1070418,基隆市中正區,公寓(三至五層建築物),    ,    ,1,大麻,1.42
12,毒品,1070208,花蓮縣玉里鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
13,毒品,1070418,基隆市中正區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,2.83
14,毒品,1061210,基隆市中正區,公寓(三至五層建築物),    ,    ,1,安非他命,0
14,毒品,1061210,基隆市中正區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0
15,毒品,1070101,基隆市中正區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0
16,毒品,1070313,基隆市中正區,大廈(六層以上建築物),    ,    ,1,鴉片(阿片),0
17,毒品,1070413,新北市三重區,公寓(三至五層建築物),    ,    ,2,甲基安非他命,0.31
18,毒品,1070310,新北市新店區,醫療院所(門診中心),    ,公廁,1,鴉片(阿片),0
18,毒品,1070310,新北市新店區,醫療院所(門診中心),    ,公廁,1,安非他命,0
19,毒品,1070411,桃園市蘆竹區,公路(省、縣、鄉、鎮道,    ,    ,2,安非他命,1.26
20,毒品,1061111,屏東縣萬巒鄉,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
21,毒品,1070109,屏東縣三地門鄉,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
21,毒品,1070109,屏東縣三地門鄉,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
22,毒品,1070304,屏東縣新園鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
23,毒品,1070410,屏東縣東港鎮,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
24,毒品,1070116,花蓮縣花蓮市,公園,    ,    ,1,安非他命,0
25,毒品,1070306,花蓮縣花蓮市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
26,毒品,1061206,花蓮縣花蓮市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
27,毒品,1070124,彰化縣溪湖鎮,便利商店,    ,    ,1,硝甲西泮(硝甲氮平),0
28,毒品,1070314,桃園市桃園區,車站(捷運、高鐵、臺鐵車站除外),    ,公廁,1,安非他命,0
29,毒品,1070225,雲林縣北港鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
30,毒品,1061220,雲林縣北港鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
31,毒品,1070314,雲林縣口湖鄉,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
32,毒品,1070102,南投縣埔里鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
33,毒品,1061127,台南市善化區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
