no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量淨重_克
1,毒品,1050726,桃園市平鎮區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0.01
2,毒品,1050726,桃園市平鎮區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,安非他命,0.18
3,毒品,1050213,桃園市平鎮區,大廈(六層以上建築物),    ,房間（起居室）,1,安非他命,0
4,毒品,1050706,新北市板橋區,公寓(三至五層建築物),    ,    ,1,安非他命,0.3
5,毒品,1050410,苗栗縣後龍鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
6,毒品,1050706,花蓮縣花蓮市,普通住宅(一、二層樓),    ,    ,1,安非他命,0.12
7,毒品,1050420,苗栗縣後龍鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
8,毒品,1050215,苗栗縣後龍鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
9,毒品,1050611,苗栗縣後龍鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
10,毒品,1050426,花蓮縣花蓮市,公寓(三至五層建築物),    ,    ,1,安非他命,0
11,毒品,1050731,高雄市三民區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.17
12,毒品,1050730,高雄市三民區,其他交通場所,    ,街道馬路,1,海洛因,0.65
13,毒品,1050729,高雄市三民區,其他交通場所,    ,街道馬路,1,安非他命,0.3
14,毒品,1050403,苗栗縣後龍鎮,其他交通場所,    ,    ,1,安非他命,0
15,毒品,1050509,高雄市三民區,其他交通場所,    ,街道馬路,4,鴉片(阿片),0
15,毒品,1050509,高雄市三民區,其他交通場所,    ,街道馬路,4,安非他命,0
16,毒品,1050712,苗栗縣造橋鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
17,毒品,1050702,桃園市八德區,大廈(六層以上建築物),    ,其他共同附屬場所,1,K(愷)他命(含液態),0
