no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量淨重_克
1,毒品,1060904,新北市蘆洲區,公路(省、縣、鄉、鎮道,    ,街道馬路,2,安非他命,0.74
2,毒品,1060612,彰化縣鹿港鎮,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
2,毒品,1060612,彰化縣鹿港鎮,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
3,毒品,1060906,屏東縣東港鎮,公路(省、縣、鄉、鎮道,    ,街道馬路,1,甲基安非他命,1.18
4,毒品,1060601,彰化縣溪湖鎮,便利商店,    ,    ,1,海洛因,0
4,毒品,1060601,彰化縣溪湖鎮,便利商店,    ,    ,1,安非他命,0
5,毒品,1060829,彰化縣溪湖鎮,透天厝,    ,    ,1,安非他命,0
6,毒品,1060508,彰化縣埔心鄉,汽車旅館,    ,    ,1,安非他命,0
7,毒品,1060109,彰化縣埔鹽鄉,農家住宅,    ,    ,1,海洛因,0
8,毒品,1060930,台北市信義區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻,0
9,毒品,1060712,雲林縣北港鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
9,毒品,1060712,雲林縣北港鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
10,毒品,1060429,基隆市七堵區,公寓(三至五層建築物),    ,    ,1,安非他命,0
11,毒品,1060704,彰化縣永靖鄉,汽車旅館,    ,    ,1,鴉片(阿片),0
11,毒品,1060704,彰化縣永靖鄉,汽車旅館,    ,    ,1,安非他命,0
12,毒品,1060514,屏東縣南州鄉,公路(省、縣、鄉、鎮道,    ,街道馬路,1,海洛因,0
12,毒品,1060514,屏東縣南州鄉,公路(省、縣、鄉、鎮道,    ,街道馬路,1,甲基安非他命,0
13,毒品,1060708,新竹市東區,公路(省、縣、鄉、鎮道,    ,    ,1,嗎啡,0
13,毒品,1060708,新竹市東區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
13,毒品,1060708,新竹市東區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
14,毒品,1060805,彰化縣埔鹽鄉,公園,    ,    ,1,安非他命,0
14,毒品,1060805,彰化縣埔鹽鄉,公園,    ,    ,1,甲基安非他命,0
15,毒品,1060531,彰化縣福興鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
16,毒品,1060726,新北市新莊區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
17,毒品,1060619,新北市五股區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
18,毒品,1060806,台南市仁德區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
19,毒品,1060521,台南市仁德區,公園,    ,公廁,1,安非他命,0
20,毒品,1060523,台南市歸仁區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
21,毒品,1060927,桃園市龍潭區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.44
22,毒品,1060322,台南市將軍區,便利商店,    ,    ,2,安非他命,0
23,毒品,1060902,彰化縣彰化市,其他政府機構,    ,    ,1,安非他命,0.78
24,毒品,1060908,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,2,海洛因,0.37
25,毒品,1060813,高雄市楠梓區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
26,毒品,1060807,新北市三峽區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
27,毒品,1060911,新北市三峽區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,安非他命,0.3
28,毒品,1060926,台南市佳里區,普通住宅(一、二層樓),    ,    ,1,海洛因,2.38
29,毒品,1060924,新北市三重區,出租公寓（套房）,    ,    ,2,甲基安非他命,0
30,毒品,1060612,花蓮縣新城鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
30,毒品,1060612,花蓮縣新城鄉,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
31,毒品,1060519,花蓮縣新城鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
32,毒品,1060825,苗栗縣竹南鎮,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.61
33,毒品,1060720,苗栗縣竹南鎮,大廈(六層以上建築物),    ,    ,1,K(愷)他命(含液態),0
34,毒品,1060930,屏東縣屏東市,出租公寓（套房）,    ,    ,1,安非他命,8.86
