no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量淨重_克
1,毒品,1060111,台中市大里區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
2,毒品,1060306,宜蘭縣羅東鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,2.42
3,毒品,1060122,台中市大里區,大廈(六層以上建築物),    ,    ,1,安非他命,0
4,毒品,1060306,宜蘭縣五結鄉,公路(省、縣、鄉、鎮道,    ,    ,1,FM2,10.14
5,毒品,1060306,宜蘭縣羅東鎮,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.49
6,毒品,1060310,高雄市前鎮區,公路(省、縣、鄉、鎮道,    ,    ,1,MDMA（快樂丸）,3.38
7,毒品,1060317,高雄市前鎮區,普通住宅(一、二層樓),    ,    ,1,海洛因,0.75
8,毒品,1060304,基隆市信義區,大廈(六層以上建築物),    ,    ,1,安非他命,0
9,毒品,1060213,台南市麻豆區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
10,毒品,1060318,台南市六甲區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.4
11,毒品,1041013,台南市六甲區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
12,毒品,1060211,台南市官田區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
13,毒品,1051210,台南市北區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,3.36
14,毒品,1060305,桃園市中壢區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
15,毒品,1060303,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,4.22
15,毒品,1060303,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,111.36
15,毒品,1060303,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,麻黃鹼(含麻黃素麻黃素鹽酸鹽,34.82
16,毒品,1060307,桃園市中壢區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
17,毒品,1060221,桃園市中壢區,汽車旅館,    ,    ,3,安非他命,0.71
18,毒品,1060226,桃園市中壢區,商店行號,    ,    ,1,安非他命,0
19,毒品,1060223,桃園市中壢區,汽車旅館,    ,    ,3,安非他命,0.2
20,毒品,1060227,桃園市中壢區,大廈(六層以上建築物),    ,    ,1,K(愷)他命(含液態),0
21,毒品,1060225,桃園市中壢區,汽車旅館,    ,    ,1,安非他命,0.14
