no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量淨重_克
1,毒品,1040916,新北市蘆洲區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,1.92
2,毒品,1040916,新北市蘆洲區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,海洛因,5.9
2,毒品,1040916,新北市蘆洲區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,13.54
3,毒品,1040916,新北市蘆洲區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
4,毒品,1040917,新北市蘆洲區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,1.55
5,毒品,1040905,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
6,毒品,1040923,新北市鶯歌區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,安非他命,2.2
7,毒品,1040802,新北市五股區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
8,毒品,1040809,新北市八里區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
9,毒品,1040811,新北市蘆洲區,公寓(三至五層建築物),    ,    ,1,安非他命,0
10,毒品,1040907,台北市大同區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,MDMA（快樂丸）,1.01
11,毒品,1040424,嘉義市西區,公園,    ,    ,1,嗎啡,0
12,毒品,1040623,嘉義市西區,便利商店,    ,    ,1,卡西酮,0
13,毒品,1040801,嘉義市西區,便利商店,    ,    ,1,海洛因,0
13,毒品,1040801,嘉義市西區,便利商店,    ,    ,1,安非他命,0
14,毒品,1040922,屏東縣枋寮鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
15,毒品,1040615,屏東縣枋寮鄉,工地、工寮,    ,    ,1,安非他命,0
16,毒品,1040701,雲林縣斗六市,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
16,毒品,1040701,雲林縣斗六市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
17,毒品,1040903,台北市中正區,公路(省、縣、鄉、鎮道,    ,    ,1,嗎啡,0
18,毒品,1040920,南投縣國姓鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0.01
19,毒品,1040901,雲林縣斗六市,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,海洛因,0.74
20,毒品,1040823,新北市樹林區,大廈(六層以上建築物),    ,    ,1,MDMA（快樂丸）,0
21,毒品,1040930,新北市樹林區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
22,毒品,1040920,台中市北區,透天厝,    ,    ,2,安非他命,0.5
23,毒品,1040902,新北市板橋區,大廈(六層以上建築物),    ,    ,1,安非他命,1.5
23,毒品,1040902,新北市板橋區,大廈(六層以上建築物),    ,    ,1,MDMA（快樂丸）,40.95
23,毒品,1040902,新北市板橋區,大廈(六層以上建築物),    ,    ,1,K(愷)他命(含液態),28.7
24,毒品,1040904,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,2,安非他命,0.28
24,毒品,1040904,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,2,安非他命,0.85
25,毒品,1040903,新北市板橋區,公寓(三至五層建築物),    ,    ,1,海洛因,3.24
25,毒品,1040903,新北市板橋區,公寓(三至五層建築物),    ,    ,1,安非他命,0.6
26,毒品,1040903,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.41
27,毒品,1040903,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
27,毒品,1040903,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
28,毒品,1040903,新北市板橋區,旅社飯店客棧汽車旅館,    ,    ,3,安非他命,0.13
28,毒品,1040903,新北市板橋區,旅社飯店客棧汽車旅館,    ,    ,3,K(愷)他命(含液態),1.82
29,毒品,1040902,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
30,毒品,1040817,高雄市鹽埕區,公寓(三至五層建築物),    ,    ,1,安非他命,0
31,毒品,1040820,高雄市鹽埕區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
31,毒品,1040820,高雄市鹽埕區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
32,毒品,1040803,花蓮縣吉安鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
33,毒品,1040915,高雄市三民區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.5
34,毒品,1040608,彰化縣社頭鄉,工地、工寮,    ,    ,1,嗎啡,0
35,毒品,1040927,高雄市前金區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),86.08
36,毒品,1040720,台南市六甲區,公園,    ,    ,1,安非他命,0
37,毒品,1040615,台北市內湖區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
38,毒品,1040912,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.24
39,毒品,1040426,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
40,毒品,1040821,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,海洛因,0
40,毒品,1040821,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
41,毒品,1040406,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
42,毒品,1040531,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
42,毒品,1040531,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
43,毒品,1040531,南投縣名間鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
44,毒品,1040609,南投縣名間鄉,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
44,毒品,1040609,南投縣名間鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
45,毒品,1040801,桃園市蘆竹區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
46,毒品,1040924,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,海洛因,0.3
47,毒品,1040519,台中市太平區,公寓(三至五層建築物),    ,    ,1,海洛因,0
48,毒品,1040805,宜蘭縣三星鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
49,毒品,1040906,雲林縣斗六市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
50,毒品,1040924,屏東縣屏東市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.43
51,毒品,1040820,屏東縣屏東市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
52,毒品,1040905,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
53,毒品,1040923,台北市文山區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,12.1
53,毒品,1040923,台北市文山區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,海洛因,1.1
54,毒品,1040825,台北市文山區,公寓(三至五層建築物),    ,    ,1,安非他命,0
55,毒品,1040910,台北市萬華區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,安非他命,0
56,毒品,1040910,台北市萬華區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0.3
57,毒品,1040810,屏東縣高樹鄉,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
58,毒品,1040809,屏東縣高樹鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,0
59,毒品,1040918,桃園市龍潭區,透天厝,    ,    ,1,海洛因,0
60,毒品,1040929,台南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.51
61,毒品,1040827,台南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
62,毒品,1040718,台南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
63,毒品,1040930,嘉義市西區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,35.9
64,毒品,1040725,嘉義市西區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,鴉片(阿片),0
65,毒品,1040829,嘉義市西區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
66,毒品,1040823,嘉義市西區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,安非他命,0
67,毒品,1040706,嘉義市西區,汽車旅館,    ,    ,1,安非他命,0
68,毒品,1040929,嘉義市西區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,安非他命,0.24
69,毒品,1040925,彰化縣花壇鄉,透天厝,    ,    ,1,安非他命,0
70,毒品,1040925,彰化縣花壇鄉,透天厝,    ,    ,1,海洛因,0.21
71,毒品,1040925,彰化縣彰化市,透天厝,    ,    ,1,海洛因,0.42
71,毒品,1040925,彰化縣彰化市,透天厝,    ,    ,1,安非他命,0
72,毒品,1040915,台北市中山區,公路(省、縣、鄉、鎮道,    ,    ,1,MDMA（快樂丸）,4.28
72,毒品,1040915,台北市中山區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),23.94
73,毒品,1040915,台北市中山區,公路(省、縣、鄉、鎮道,    ,    ,1,MDMA（快樂丸）,67.53
74,毒品,1040817,高雄市鳳山區,其他影響社會治安場所,    ,    ,1,海洛因,0.27
