no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1080415,基隆市仁愛區,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0
2,毒品,1070601,台北市中正區,大廈(六層以上建築物),微軟Microsoft(MSN、hotmail等),電腦網路,5,大麻,0.01
3,毒品,1080704,高雄市三民區,普通住宅(一、二層樓),    ,    ,1,MDMA（快樂丸）,28.7
3,毒品,1080704,高雄市三民區,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),13.8
4,毒品,1070307,基隆市信義區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
5,毒品,1080704,台中市東區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.45
6,毒品,1080610,花蓮縣吉安鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
7,毒品,1080506,新北市林口區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
8,毒品,1080621,新北市林口區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.22
9,毒品,1080404,台北市萬華區,公寓(三至五層建築物),    ,    ,1,安非他命,0
10,毒品,1070929,台中市中區,出租公寓（套房）,    ,    ,1,海洛因,0.04
11,毒品,1080613,台北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
12,毒品,1080617,高雄市小港區,公園,    ,    ,1,安非他命,0
13,毒品,1080623,高雄市小港區,透天厝,    ,    ,1,嗎啡,0
14,毒品,1080613,高雄市小港區,公園,    ,    ,1,安非他命,0
15,毒品,1080729,苗栗縣竹南鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,6.41
15,毒品,1080729,苗栗縣竹南鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0.46
16,毒品,1080603,苗栗縣竹南鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
17,毒品,1080729,苗栗縣竹南鎮,出租公寓（套房）,    ,    ,1,卡西酮,396
18,毒品,1080729,苗栗縣竹南鎮,出租公寓（套房）,    ,    ,1,安非他命,0.52
19,毒品,1080726,南投縣水里鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,1.3
20,毒品,1080429,花蓮縣花蓮市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
21,毒品,1080515,台中市大雅區,大廈(六層以上建築物),    ,    ,1,海洛因,0
22,毒品,1080727,屏東縣佳冬鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
23,毒品,1080609,屏東縣佳冬鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,0
24,毒品,1080725,屏東縣枋山鄉,普通住宅(一、二層樓),    ,廚房,1,海洛因,0.42
24,毒品,1080725,屏東縣枋山鄉,普通住宅(一、二層樓),    ,廚房,1,海洛因,0.9
24,毒品,1080725,屏東縣枋山鄉,普通住宅(一、二層樓),    ,廚房,1,安非他命,0.29
25,毒品,1080725,屏東縣枋山鄉,公路(省、縣、鄉、鎮道,    ,街道馬路,1,海洛因,0.27
26,毒品,1080722,屏東縣佳冬鄉,普通住宅(一、二層樓),    ,房間（起居室）,1,安非他命,9.59
27,毒品,1080515,高雄市前鎮區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.2
27,毒品,1080515,高雄市前鎮區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.2
28,毒品,1080521,澎湖縣白沙鄉,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
29,毒品,1080120,台北市文山區,公寓(三至五層建築物),    ,    ,1,安非他命,0
30,毒品,1080716,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
31,毒品,1080716,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
32,毒品,1080125,屏東縣屏東市,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
33,毒品,1080729,屏東縣屏東市,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
33,毒品,1080729,屏東縣屏東市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
34,毒品,1080729,屏東縣屏東市,普通住宅(一、二層樓),    ,    ,2,安非他命,2.01
34,毒品,1080729,屏東縣屏東市,普通住宅(一、二層樓),    ,    ,2,安非他命,2.08
34,毒品,1080729,屏東縣屏東市,普通住宅(一、二層樓),    ,    ,2,安非他命,0.46
34,毒品,1080729,屏東縣屏東市,普通住宅(一、二層樓),    ,    ,2,鴉片(阿片),0
35,毒品,1071122,台南市東區,超級市場,    ,    ,1,安非他命,0
36,毒品,1080706,新北市新店區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.43
37,毒品,1080518,嘉義市西區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
38,毒品,1080709,高雄市鳥松區,普通住宅(一、二層樓),    ,    ,1,海洛因,0.41
39,毒品,1080615,高雄市大樹區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
40,毒品,1070224,高雄市三民區,大廈(六層以上建築物),    ,    ,1,安非他命,0
41,毒品,1080725,台中市北區,大廈(六層以上建築物),    ,    ,1,安非他命,8.51
42,毒品,1080609,台中市北區,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0
43,毒品,1080724,台中市西屯區,透天厝,    ,    ,1,安非他命,0.87
44,毒品,1080525,雲林縣北港鎮,公園,    ,    ,1,安非他命,0
45,毒品,1080703,台東縣台東市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
46,毒品,1080703,台東縣台東市,公路(省、縣、鄉、鎮道,    ,    ,2,安非他命,0
47,毒品,1080707,台北市信義區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻,0.62
48,毒品,1080707,台北市信義區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻,0
49,毒品,1080707,台北市信義區,公園,    ,    ,1,大麻,0.26
49,毒品,1080707,台北市信義區,公園,    ,    ,1,大麻,0.1
50,毒品,1080628,桃園市平鎮區,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0
51,毒品,1080701,台北市內湖區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,8.83
52,毒品,1080421,嘉義縣新港鄉,公寓(三至五層建築物),    ,    ,1,海洛因,0
