no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量淨重_克
1,毒品,1060519,台南市南區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
2,毒品,1060512,基隆市安樂區,公寓(三至五層建築物),    ,    ,1,安非他命,0.44
3,毒品,1060503,台中市大甲區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
4,毒品,1060512,基隆市安樂區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.76
5,毒品,1060419,基隆市中山區,公路(省、縣、鄉、鎮道,    ,    ,1,鴉片(阿片),0
5,毒品,1060419,基隆市中山區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
6,毒品,1060415,基隆市中山區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
7,毒品,1060511,基隆市安樂區,汽車旅館,    ,    ,2,安非他命,3
7,毒品,1060511,基隆市安樂區,汽車旅館,    ,    ,2,安非他命,0.99
8,毒品,1051021,台中市大甲區,普通住宅(一、二層樓),    ,    ,1,安非他命,2
9,毒品,1060326,台中市大甲區,工地、工寮,    ,門口(出入口),1,甲基安非他命,0
10,毒品,1060504,桃園市平鎮區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.46
10,毒品,1060504,桃園市平鎮區,公路(省、縣、鄉、鎮道,    ,    ,1,MDMA（快樂丸）,7.58
11,毒品,1060503,桃園市平鎮區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
12,毒品,1060316,南投縣水里鄉,普通住宅(一、二層樓),    ,    ,1,鴉片(阿片),0
13,毒品,1060404,彰化縣芬園鄉,透天厝,    ,    ,1,安非他命,0
13,毒品,1060404,彰化縣芬園鄉,透天厝,    ,    ,1,甲基安非他命,0
14,毒品,1060418,台北市信義區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
15,毒品,1060330,宜蘭縣宜蘭市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
16,毒品,1060410,宜蘭縣員山鄉,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
17,毒品,1060313,苗栗縣竹南鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
18,毒品,1051225,嘉義縣竹崎鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,0
18,毒品,1051225,嘉義縣竹崎鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
19,毒品,1060502,高雄市阿蓮區,普通住宅(一、二層樓),    ,房間（起居室）,1,安非他命,0.5
20,毒品,1051204,高雄市林園區,河(中)海(堤)邊,    ,    ,1,嗎啡,0
20,毒品,1051204,高雄市林園區,河(中)海(堤)邊,    ,    ,1,甲基安非他命,0
21,毒品,1051219,高雄市大寮區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.01
