no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量淨重_克
1,毒品,1051105,台南市東區,汽車旅館,    ,    ,1,安非他命,0.29
2,毒品,1050821,高雄市三民區,網路咖啡館(店),    ,    ,1,安非他命,0
3,毒品,1051102,高雄市左營區,大廈(六層以上建築物),    ,    ,1,MDMA（快樂丸）,0.86
4,毒品,1050617,台南市新市區,臺鐵（含車道、車站等）,    ,    ,1,K(愷)他命(含液態),0
5,毒品,1051003,基隆市七堵區,加油站,    ,公廁,1,安非他命,0
6,毒品,1051017,屏東縣滿州鄉,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
7,毒品,1050622,屏東縣恆春鎮,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
8,毒品,1050707,桃園市蘆竹區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
9,毒品,1050707,桃園市蘆竹區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
10,毒品,1051123,台中市大雅區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.64
11,毒品,1051116,台中市豐原區,公路(省、縣、鄉、鎮道,    ,    ,3,K(愷)他命(含液態),0
11,毒品,1051116,台中市豐原區,公路(省、縣、鄉、鎮道,    ,    ,3,MMDA,1.85
11,毒品,1051116,台中市豐原區,公路(省、縣、鄉、鎮道,    ,    ,3,安非他命,17.73
12,毒品,1050601,台中市沙鹿區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
13,毒品,1050618,台中市梧棲區,普通住宅(一、二層樓),    ,    ,2,K(愷)他命(含液態),3.5
14,毒品,1051122,新竹市東區,大廈(六層以上建築物),    ,    ,2,海洛因,0.7
14,毒品,1051122,新竹市東區,大廈(六層以上建築物),    ,    ,2,安非他命,0
15,毒品,1051023,新北市土城區,公寓(三至五層建築物),    ,屋頂,1,安非他命,0
15,毒品,1051023,新北市土城區,公寓(三至五層建築物),    ,屋頂,1,甲基安非他命,0
16,毒品,1051023,新北市土城區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0
16,毒品,1051023,新北市土城區,公寓(三至五層建築物),    ,    ,1,安非他命,0
17,毒品,1051103,彰化縣彰化市,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
17,毒品,1051103,彰化縣彰化市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
18,毒品,1051114,新北市瑞芳區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,5.84
19,毒品,1051101,台南市七股區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.21
20,毒品,1050701,桃園市龜山區,公寓(三至五層建築物),    ,    ,1,海洛因,0.2
20,毒品,1050701,桃園市龜山區,公寓(三至五層建築物),    ,    ,1,安非他命,1
21,毒品,1050809,桃園市龜山區,公寓(三至五層建築物),    ,    ,1,安非他命,0
22,毒品,1051127,台北市大同區,大廈(六層以上建築物),    ,    ,1,海洛因,5.03
22,毒品,1051127,台北市大同區,大廈(六層以上建築物),    ,    ,1,甲基安非他命,7.26
23,毒品,1051103,高雄市三民區,旅社飯店客棧汽車旅館,    ,    ,1,安非他命,17.5
24,毒品,1051010,高雄市三民區,旅社飯店客棧汽車旅館,    ,    ,1,安非他命,0
25,毒品,1051009,高雄市三民區,其他交通場所,    ,街道馬路,1,安非他命,0
26,毒品,1051118,高雄市岡山區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.82
27,毒品,1051017,高雄市燕巢區,醫療院所(門診中心),    ,    ,1,安非他命,1
28,毒品,1050723,台南市新營區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
29,毒品,1050108,台南市新營區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
30,毒品,1050416,台南市鹽水區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
31,毒品,1050929,高雄市鼓山區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
31,毒品,1050929,高雄市鼓山區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
32,毒品,1051127,基隆市仁愛區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.31
33,毒品,1051127,基隆市仁愛區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,5.38
34,毒品,1051011,台北市北投區,大廈(六層以上建築物),    ,    ,1,安非他命,0
35,毒品,1051113,台北市北投區,公路(省、縣、鄉、鎮道,    ,汽車上,1,甲基安非他命,0
36,毒品,1051127,高雄市苓雅區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),26.29
37,毒品,1051104,新竹縣湖口鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0.51
38,毒品,1050419,台中市神岡區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
39,毒品,1051120,台中市潭子區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.55
39,毒品,1051120,台中市潭子區,公路(省、縣、鄉、鎮道,    ,    ,1,MMDA,7.37
40,毒品,1051024,台中市豐原區,大廈(六層以上建築物),    ,    ,1,嗎啡,0
40,毒品,1051024,台中市豐原區,大廈(六層以上建築物),    ,    ,1,安非他命,0
41,毒品,1050908,台中市潭子區,大廈(六層以上建築物),    ,    ,3,海洛因,0
41,毒品,1050908,台中市潭子區,大廈(六層以上建築物),    ,    ,3,安非他命,0
42,毒品,1051024,台中市神岡區,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
43,毒品,1051029,高雄市大社區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
44,毒品,1051128,高雄市大社區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,9.34
45,毒品,1050901,彰化縣員林市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
45,毒品,1050901,彰化縣員林市,普通住宅(一、二層樓),    ,    ,1,海洛因,0
46,毒品,1050704,高雄市左營區,大廈(六層以上建築物),    ,    ,1,K(愷)他命(含液態),2.32
47,毒品,1050910,基隆市中正區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
48,毒品,1051111,基隆市中正區,大廈(六層以上建築物),    ,    ,1,硝西泮,133.85
49,毒品,1051111,基隆市中正區,大廈(六層以上建築物),    ,    ,1,安非他命,1.36
49,毒品,1051111,基隆市中正區,大廈(六層以上建築物),    ,    ,1,硝西泮,26.95
50,毒品,1050930,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
51,毒品,1051122,南投縣名間鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
52,毒品,1051002,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
52,毒品,1051002,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
