no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1090119,新北市三重區,大廈(六層以上建築物),    ,    ,1,K(愷)他命(含液態),7.55
1,毒品,1090119,新北市三重區,大廈(六層以上建築物),    ,    ,1,4-甲基甲基卡西酮(喵喵),2070
2,毒品,1080524,台南市安南區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
2,毒品,1080524,台南市安南區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
3,毒品,1080927,台中市霧峰區,高速公路,    ,交流道,1,安非他命,0
4,毒品,1090110,桃園市龜山區,汽車旅館,    ,    ,1,甲基安非他命,0.1
5,毒品,1090130,基隆市七堵區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0
5,毒品,1090130,基隆市七堵區,公寓(三至五層建築物),    ,    ,1,安非他命,0
6,毒品,1080715,台南市北門區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
6,毒品,1080715,台南市北門區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
7,毒品,1090318,基隆市七堵區,公路(省、縣、鄉、鎮道,    ,汽車上,1,安非他命,0.54
8,毒品,1090318,基隆市七堵區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.17
9,毒品,1090326,桃園市中壢區,普通住宅(一、二層樓),    ,    ,1,安非他命,1.99
10,毒品,1090324,台中市北屯區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基卡西酮,6.86
11,毒品,1080719,新竹縣湖口鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,2.65
11,毒品,1080719,新竹縣湖口鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,6.56
12,毒品,1090313,新北市三重區,旅社飯店客棧汽車旅館,    ,    ,1,甲基安非他命,0.27
13,毒品,1090310,嘉義縣六腳鄉,空地(公、私用地),    ,    ,1,海洛因,0.36
14,毒品,1090207,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻,0
15,毒品,1090310,嘉義縣六腳鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,1.5
16,毒品,1090219,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
17,毒品,1090113,嘉義縣東石鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
18,毒品,1090125,新北市中和區,公寓(三至五層建築物),    ,    ,1,安非他命,0
19,毒品,1090318,台北市信義區,大廈(六層以上建築物),    ,    ,2,海洛因,1
20,毒品,1090316,台北市信義區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.96
21,毒品,1080630,新北市中和區,公寓(三至五層建築物),    ,    ,1,安非他命,0
22,毒品,1090314,台北市信義區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.15
23,毒品,1090309,台南市安定區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
24,毒品,1090318,屏東縣潮州鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,14
25,毒品,1090212,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
26,毒品,1090324,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
27,毒品,1090324,桃園市觀音區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
28,毒品,1090323,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
29,毒品,1090301,桃園市大園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
30,毒品,1090208,台南市仁德區,宿舍,    ,    ,1,甲基安非他命,0
31,毒品,1090326,桃園市觀音區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
