no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量淨重_克
1,毒品,1060912,屏東縣長治鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
2,毒品,1060811,屏東縣麟洛鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
3,毒品,1061108,高雄市旗山區,普通住宅(一、二層樓),    ,    ,1,海洛因,0.2
4,毒品,1061114,台北市內湖區,公路(省、縣、鄉、鎮道,    ,汽車上,1,MDMA（快樂丸）,1.21
5,毒品,1061114,台中市太平區,普通住宅(一、二層樓),    ,    ,1,安非他命,1.1
6,毒品,1061114,台中市太平區,普通住宅(一、二層樓),    ,    ,1,安非他命,1.5
7,毒品,1061113,台中市太平區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.37
8,毒品,1061018,台中市西區,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
8,毒品,1061018,台中市西區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
9,毒品,1061122,宜蘭縣羅東鎮,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.6
10,毒品,1061012,彰化縣秀水鄉,透天厝,    ,    ,1,安非他命,0
10,毒品,1061012,彰化縣秀水鄉,透天厝,    ,    ,1,甲基安非他命,0
11,毒品,1060315,新北市樹林區,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0
12,毒品,1060101,苗栗縣苗栗市,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0
13,毒品,1060401,新北市深坑區,公寓(三至五層建築物),    ,    ,1,安非他命,0
14,毒品,1060925,新北市新店區,公寓(三至五層建築物),    ,    ,1,安非他命,0
15,毒品,1061116,新北市新店區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.38
16,毒品,1061116,新北市新店區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻,0.46
16,毒品,1061116,新北市新店區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,1.12
17,毒品,1061117,新北市深坑區,大廈(六層以上建築物),    ,    ,1,安非他命,19.69
18,毒品,1060919,新竹縣關西鎮,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
19,毒品,1050826,新竹縣關西鎮,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
20,毒品,1061117,新北市土城區,汽車旅館,    ,    ,2,安非他命,2.75
20,毒品,1061117,新北市土城區,汽車旅館,    ,    ,2,大麻,1.14
21,毒品,1061118,新北市土城區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,3.11
22,毒品,1060922,宜蘭縣羅東鎮,高速公路,    ,    ,1,海洛因,0
22,毒品,1060922,宜蘭縣羅東鎮,高速公路,    ,    ,1,安非他命,0
23,毒品,1061109,新北市三重區,大廈(六層以上建築物),    ,    ,1,大麻,0.89
24,毒品,1060605,新北市三重區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
25,毒品,1060508,新北市三重區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
26,毒品,1060319,新北市三重區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
26,毒品,1060319,新北市三重區,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0
27,毒品,1061112,新北市三重區,大廈(六層以上建築物),    ,其他共同附屬場所,2,甲基安非他命,252.75
27,毒品,1061112,新北市三重區,大廈(六層以上建築物),    ,其他共同附屬場所,2,MDMA（快樂丸）,1.01
27,毒品,1061112,新北市三重區,大廈(六層以上建築物),    ,其他共同附屬場所,2,大麻,1.24
28,毒品,1061116,新北市三重區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,3.79
29,毒品,1061106,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
30,毒品,1060905,新北市三重區,旅社飯店客棧汽車旅館,    ,    ,1,甲基安非他命,0
31,毒品,1060919,屏東縣長治鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
32,毒品,1060921,屏東縣屏東市,普通住宅(一、二層樓),    ,    ,1,海洛因,0
33,毒品,1060924,屏東縣屏東市,公寓(三至五層建築物),    ,    ,1,安非他命,0
34,毒品,1061020,雲林縣麥寮鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
35,毒品,1060615,雲林縣四湖鄉,普通住宅(一、二層樓),    ,    ,2,安非他命,0
36,毒品,1060611,新北市新莊區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),1
37,毒品,1060604,新竹縣橫山鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
38,毒品,1061101,高雄市阿蓮區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,2.5
39,毒品,1060907,高雄市大寮區,公寓(三至五層建築物),    ,    ,1,MDMA（快樂丸）,5.62
40,毒品,1061116,高雄市大寮區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.19
41,毒品,1061101,高雄市左營區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0.62
41,毒品,1061101,高雄市左營區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,大麻,0.78
41,毒品,1061101,高雄市左營區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,MDMA（快樂丸）,0.78
42,毒品,1060315,台東縣台東市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
43,毒品,1061115,台中市大里區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
44,毒品,1060927,台南市中西區,旅社飯店客棧汽車旅館,    ,    ,1,安非他命,0
45,毒品,1061112,台南市北區,便利商店,    ,    ,1,安非他命,1.55
46,毒品,1061119,高雄市梓官區,普通住宅(一、二層樓),    ,    ,1,海洛因,3.32
46,毒品,1061119,高雄市梓官區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0.31
47,毒品,1061002,高雄市美濃區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
48,毒品,1061011,高雄市杉林區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
48,毒品,1061011,高雄市杉林區,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
49,毒品,1060827,高雄市旗山區,其他,    ,    ,2,安非他命,0
50,毒品,1060821,高雄市旗山區,其他,    ,    ,1,安非他命,0
51,毒品,1060919,高雄市美濃區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
52,毒品,1061001,高雄市美濃區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
52,毒品,1061001,高雄市美濃區,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
53,毒品,1060623,桃園市楊梅區,透天厝,    ,    ,1,海洛因,0
54,毒品,1060920,高雄市美濃區,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
54,毒品,1060920,高雄市美濃區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
55,毒品,1060925,高雄市美濃區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
